IND_UUID,IND_NAME,DIM_GEO_CODE_TYPE,DIM_GEO_CODE_M49,GEO_NAME_SHORT,DIM_TIME_TYPE,DIM_TIME,RATE_PER_10000_N
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,1997,28.42
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2004,34.19
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2015,38.26
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,1996,27.24
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2009,35.77
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2014,37.81
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2019,43.76
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,1994,42.21
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,1995,42.82
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2003,32
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2008,35.23
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,1993,41.75
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2002,31.05
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2013,37.91
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2018,39.96
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,1991,41.35
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,1992,41.26
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2001,31.06
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2007,35.38
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2012,38.04
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2022,42.94
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,1990,20.37
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2000,31.01
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2006,36.01
217795A,Density of doctors,COUNTRY,724,Spain,YEAR,2017,38.54
